,GitHub Username,hw0
0,0taj,0.0
1,50L4M3,0.0
2,559Max,0.0
3,5han7anu-S,100.0
4,AaronFritz01,0.0
5,Abhilashsaravana,0.0
6,AdenKoperczak,0.0
7,AditiAgrawal17,0.0
8,AjSonani,0.0
9,AlexTheBestCat,0.0
10,Alice-Dragnea,41.67
11,Alishah634,0.0
12,Annie1103,0.0
13,AviatorNic28,0.0
14,Benivator,0.0
15,BoWu2021,0.0
16,BobWaffle314,0.0
17,Brian-Ng2023,100.0
18,BrodyCooke,0.0
19,Brohan00,0.0
20,CJB256,0.0
21,CJiang76,0.0
22,CameronMccutcheon02,0.0
23,CarlosACJ55,0.0
24,Chise7,0.0
25,Chun-WeiHsu,100.0
26,CiscoSullivan,0.0
27,ClaireXP,0.0
28,ClarkLiao20,0.0
29,Connor-Vickers,0.0
30,DaerkZeus,0.0
31,Daihun,0.0
32,Dirty-Bubble,100.0
33,DrRadical,0.0
34,EdwinTseng,0.0
35,El-Psy-Congro,100.0
36,EmilyChen23,0.0
37,EngineKid2001,0.0
38,FaaizMemon,0.0
39,FaaizMemonPurdue,0.0
40,FelipeDoesHisThing,0.0
41,Fran3098,0.0
42,FrancisC2022,0.0
43,Frucks,0.0
44,GDavies411,0.0
45,Gabriel-Wang-bit,100.0
46,GeneralOy,0.0
47,GraysonNocera,0.0
48,Hardtanker,0.0
49,Henry3035,0.0
50,Hosup-Song,100.0
51,IanKarlmann,0.0
52,Ieckroth,0.0
53,Ismiley,0.0
54,J-M-Hickman,75.0
55,JDCambridge,0.0
56,JNicho206,0.0
57,Jackk81524,0.0
58,Jacob-Chappell,100.0
59,JayAlt497,0.0
60,Jingyi6Zhang,0.0
61,JonHuang1,0.0
62,Jones3ones,0.0
63,Josh9281,0.0
64,Jun0610,0.0
65,KabirBatra06,0.0
66,KabirSheth,0.0
67,KarthikSNimmala,0.0
68,Kaushikk362,0.0
69,Ken10086,0.0
70,KennyStier,0.0
71,Kugel-Blitz,100.0
72,Kyle-Mawhorter,0.0
73,LennyLess,0.0
74,LewisCHoke,0.0
75,LiChungYang,0.0
76,Lijunzhu944,0.0
77,LilCybe,0.0
78,LinGan1213,0.0
79,Liuzili777,0.0
80,LordTyrode,0.0
81,Mali920,0.0
82,Malvhack,0.0
83,Matthew-Patrohay,0.0
84,MatthewEMcCormick,0.0
85,MatthewPatrohay,0.0
86,MaxChen2024,0.0
87,Morri448,0.0
88,MrDoggus,0.0
89,Nahush28,0.0
90,NigelHorak,0.0
91,OGblmk,0.0
92,Osan-Omayuku,75.0
93,Overjellyfish,0.0
94,OxyMagnesium,0.0
95,PC-192,100.0
96,PC192,0.0
97,Pebblebro,0.0
98,PeilinYu,0.0
99,Peteriq,0.0
100,Pisces372,0.0
101,PuyeChen,0.0
102,Ranasinghe843,0.0
103,ReeceJensen,0.0
104,RiamuYumemi,0.0
105,Roman-Camacho,100.0
106,RomanczuG,0.0
107,Ruxin720,0.0
108,Ryan-Donoghue,100.0
109,RyanDavitt,0.0
110,Scrubuli,0.0
111,SeanoChang,0.0
112,Sensei82013,0.0
113,ShreChinno,0.0
114,Shrubwhack,0.0
115,ShuchaySubramanian,0.0
116,So-Won-Kim,100.0
117,SongnianLi,0.0
118,SpacemanJHO,0.0
119,Stas818,0.0
120,Streetcred1e,0.0
121,SudhanvaD,0.0
122,Szagha02,0.0
123,TMoneyLirette,0.0
